"","Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
"1",41,"Yes","Travel Rarely",1102,"Sales",1,2,"Life Sciences",2,"Female",94,3,2,"Sales Executive",4,"Single",5993,19479,8,"Yes",22,3,1,0,8,0,1,6,4,0,5
"2",49,"No","Travel Frequently",279,"R&D",8,1,"Life Sciences",3,"Male",61,2,2,"Research Scientist",2,"Married",5130,24907,1,"No",23,4,4,1,10,3,3,10,7,1,7
"3",37,"Yes","Travel Rarely",1373,"R&D",2,2,"Other",4,"Male",92,2,1,"Laboratory Technician",3,"Single",2090,2396,6,"Yes",15,3,2,0,7,3,3,0,0,0,0
"4",33,"No","Travel Frequently",1392,"R&D",3,4,"Life Sciences",4,"Female",56,3,1,"Research Scientist",3,"Married",2909,23159,1,"Yes",11,3,3,0,8,3,3,8,7,3,0
"5",27,"No","Travel Rarely",591,"R&D",12,1,"Medical Sciences",1,"Male",40,3,1,"Laboratory Technician",2,"Married",3468,16632,9,"No",12,3,4,1,6,3,3,2,2,2,2
"6",32,"No","Travel Frequently",1005,"R&D",2,2,"Life Sciences",4,"Male",79,3,1,"Laboratory Technician",4,"Single",3068,11864,0,"No",13,3,3,0,8,2,2,7,7,3,6
"7",59,"No","Travel Rarely",1324,"R&D",3,3,"Medical Sciences",3,"Female",81,4,1,"Laboratory Technician",1,"Married",2670,9964,4,"Yes",20,4,1,3,12,3,3,1,0,0,0
"8",30,"No","Travel Rarely",1358,"R&D",24,1,"Life Sciences",4,"Male",67,3,1,"Laboratory Technician",3,"Divorced",2693,13335,1,"No",22,4,2,1,1,2,3,1,0,0,0
"9",38,"No","Travel Frequently",216,"R&D",23,3,"Life Sciences",4,"Male",44,2,3,"Manufacturing Director",3,"Single",9526,8787,0,"No",21,4,2,0,10,2,3,9,7,1,8
"10",36,"No","Travel Rarely",1299,"R&D",27,3,"Medical Sciences",3,"Male",94,3,2,"Healthcare Representative",3,"Married",5237,16577,6,"No",13,3,2,2,17,3,2,7,7,7,7
